"id","Lng","Lat","totalPrice","square","livingRoom","price","drawingRoom","kitchen","bathRoom","constructionTime","buildingType","buildingStructure","elevator","dif_lng","dif_lat","dif_cor"
"101101143812",116.564716,39.919152,350,51.53,2,67922,1,1,1,"1980",4,2,0,0.176384220000003,0.0171556079999959,0.177216556649933
"101092234405",116.379414,39.911491,690,55.2,2,125000,1,1,1,"1980",3,2,0,0.00891778000000443,0.00949460799999713,0.0130259119144146
"BJCY89617205",116.599672,40.056821,124,58.84,2,21075,1,1,1,"1980",4,2,0,0.211340219999997,0.154824607999998,0.261983487708673
"101100476814",116.351337,39.931197,438,50.07,2,87478,1,1,1,"1980",4,2,0,0.0369947800000006,0.0292006079999965,0.0471305554265797
"BJDC88371910",116.419222,39.963639,278,52.61,2,52842,1,1,1,"1980",4,2,0,0.0308902200000034,0.0616426079999997,0.0689493786243954
"BJHD91647583",116.333347,39.904872,305,54.1,2,56378,1,1,1,"1980",4,4,0,0.0549847799999981,0.00287560799999653,0.05505992329288
"101091865435",116.445552,39.903067,410,58.98,2,69516,1,1,1,"1980",4,2,0,0.0572202200000049,0.00107060799999914,0.0572302348268695
"BJCY85744911",116.491073,39.936639,223,56,2,39822,1,1,1,"1980",4,4,0,0.102741219999999,0.0346426079999986,0.108424483287354
"101100390376",116.431098,39.927369,460,55.96,2,82202,1,1,1,"1980",1,4,0,0.0427662200000043,0.0253726079999979,0.0497264397459774
"BJXC88750969",116.357739,39.908038,610,99.9,3,61062,1,1,1,"1980",4,4,0,0.0305927800000063,0.00604160799999676,0.0311836369808656
"BJXC85594845",116.375911,39.881969,245,50.59,2,48429,1,1,1,"1980",4,2,0,0.0124207799999994,0.0200273920000029,0.023566336289932
"BJCY87643122",116.605035,40.051164,134,64.38,2,20814,1,1,1,"1980",4,2,0,0.216703219999999,0.149167607999999,0.26308033152406
"BJCY86321922",116.45189,39.958982,228,59.65,2,38223,1,1,1,"1980",4,4,0,0.0635582200000044,0.056985607999998,0.0853639669222231
"BJCY89206305",116.462517,39.931273,247,44.02,1,56111,1,1,1,"1981",4,2,0,0.0741852200000039,0.0292766079999964,0.0797531607049805
"BJDC91746677",116.445786,39.880569,290,52.7,2,55029,1,1,1,"1981",4,4,0,0.0574542199999968,0.0214273919999997,0.0613198216218025
"101102261910",116.473966,39.93234,350,58.78,2,59545,1,1,1,"1981",3,6,1,0.0856342200000029,0.0303436080000026,0.0908512750679192
"101092021541",116.351933,39.887523,371,57.04,2,65043,1,1,1,"1981",4,2,0,0.036398779999999,0.0144733919999993,0.0391707832634729
"BJXC88441342",116.395594,39.881597,226,40.03,1,56458,1,1,1,"1982",4,2,0,0.00726222000000121,0.0203993920000016,0.0216535224224177
"101101592706",116.470595,39.938853,453.6,61.09,2,74252,1,1,1,"1982",4,6,0,0.0822632200000015,0.0368566080000008,0.0901423702707798
"BJHD85695758",116.325385,39.984968,410,48,1,85417,1,1,1,"1982",1,6,1,0.0629467800000043,0.0829716080000011,0.104146938728293
"101100230564",116.458742,39.886929,263,57,2,46141,1,1,1,"1982",4,4,0,0.0704102199999994,0.0150673919999988,0.0720043428004863
"BJHD89437144",116.325385,39.984968,420,64.7,2,64915,1,1,1,"1982",1,6,1,0.0629467800000043,0.0829716080000011,0.104146938728293
"101100982369",116.509699,39.937474,281.5,38.6,1,72928,1,1,1,"1982",4,6,0,0.121367219999996,0.0354776080000008,0.126446284089052
"101100542768",116.413174,39.972706,450,50,2,90000,1,1,1,"1982",4,2,0,0.0248422199999965,0.0707096080000014,0.0749465446704655
"BJCY87030582",116.461125,39.900032,218,56.23,2,38770,1,1,1,"1983",3,6,1,0.0727932199999941,0.00196439199999787,0.0728197206386924
"BJCY91310605",116.456697,39.922284,388,70,3,55429,1,1,1,"1983",1,6,1,0.068365220000004,0.0202876079999967,0.0713119228741623
"BJXC86780885",116.393715,39.890661,235,49.75,2,47237,0,1,1,"1983",4,2,0,0.0053832199999988,0.0113353919999994,0.0125487118606668
"BJCY87528279",116.39584,39.979426,255,57.65,2,44233,1,1,1,"1983",4,2,0,0.00750822000000539,0.0774296079999957,0.0777927860575868
"101100633922",116.415072,39.968084,467,55.07,2,84802,1,1,2,"1983",4,2,0,0.0267402199999935,0.0660876079999966,0.071292435060175
"BJDC88193842",116.452393,39.902278,239,59.87,2,39920,1,1,1,"1983",4,2,0,0.0640612199999993,0.000281608000001654,0.0640618389601326
"101100639376",116.391726,39.978788,624,55.9,2,111628,1,1,1,"1983",4,2,0,0.00339422000000411,0.0767916080000006,0.0768665843434856
"BJXC85484245",116.34688,39.912912,410,65.6,1,62501,1,1,1,"1983",1,2,1,0.0414517800000027,0.0109156079999977,0.0428649106283711
"101100320034",116.349984,39.992769,350,58,2,60345,1,1,1,"1983",4,2,0,0.0383477799999952,0.0907726080000018,0.098540441413919
"BJHD89871179",116.311592,39.977698,399,65.3,2,61103,1,1,1,"1983",4,2,0,0.0767397799999969,0.0757016079999957,0.107794838875676
"BJCY85814225",116.491073,39.936639,212,54.08,2,39202,1,1,1,"1983",4,2,0,0.102741219999999,0.0346426079999986,0.108424483287354
"101100617248",116.428122,39.973788,395,45.53,2,86756,1,1,1,"1983",4,2,0,0.0397902200000004,0.0717916079999981,0.0820810367068656
"BJHD85781046",116.343001,39.964408,390,71.6,2,54470,1,1,1,"1983",4,2,0,0.0453307800000005,0.0624116079999979,0.0771368162977566
"101102138081",116.464359,39.935358,393,49.86,2,78821,1,1,1,"1983",4,2,0,0.0760272200000003,0.0333616079999999,0.0830249063189721
"101101038822",116.232365,40.235529,249,63.6,2,39151,1,2,2,"1984",4,2,0,0.15596678,0.333532607999999,0.368197823272829
"BJHD91889666",116.330345,39.984336,876,76.6,3,114361,1,1,1,"1984",4,2,0,0.0579867800000073,0.0823396079999981,0.100708875976066
"BJCY86145277",116.490734,39.983371,213,57.6,2,36980,1,1,1,"1984",4,2,0,0.102402220000002,0.0813746079999973,0.130797712090396
"BJSJ86304134",116.203052,39.921408,174,52.25,2,33302,1,1,1,"1984",4,2,0,0.185279780000002,0.0194116079999986,0.186293873763993
"101101615570",116.536254,39.920483,300,58.8,2,51021,1,1,1,"1984",4,6,0,0.147922219999998,0.0184866079999964,0.149072927941573
"BJCY89315827",116.479017,39.950244,302.5,77.97,3,38797,1,1,1,"1984",4,4,0,0.0906852199999975,0.0482476079999969,0.10272117992006
"BJCY86915048",116.455926,39.945052,300,69.4,3,43228,1,1,1,"1984",4,2,0,0.0675942200000037,0.043055607999996,0.0801421484467332
"101100652697",116.233785,39.906862,289,63.24,2,45699,1,1,1,"1984",4,2,0,0.154546780000004,0.0048656079999958,0.154623353183079
"BJCY88634112",116.446047,39.964131,242,59.11,2,40941,1,1,1,"1984",4,2,0,0.0577152199999915,0.0621346080000009,0.08480422236517
"BJFT36224535",116.410743,39.821558,81.5,59.01,2,13812,1,1,1,"1984",4,2,0,0.0224112199999951,0.0804383919999978,0.0835020819467005
"BJHD87966679",116.329472,39.977829,240,39.2,1,61225,1,1,1,"1985",4,2,0,0.0588597800000059,0.0758326079999989,0.0959950943420058
"BJCY87371291",116.409805,39.969951,215,55,2,39091,1,1,1,"1985",1,6,1,0.0214732200000043,0.0679546080000009,0.0712665975447289
"101101941084",116.491703,39.929224,332,53.85,2,61653,1,1,1,"1985",4,2,0,0.10337122,0.0272276079999969,0.106896921198367
"BJHD89717342",116.357168,39.973031,468,86.1,3,54356,1,1,1,"1985",4,2,0,0.03116378,0.0710346079999979,0.077569947257954
"101092251889",116.319222,39.937904,482,68.2,2,70675,1,1,1,"1985",4,6,1,0.0691097800000051,0.0359076080000023,0.0778814355538657
"BJCY89622610",116.479732,39.93278,232.8,51.63,2,45091,1,1,1,"1985",4,2,0,0.091400219999997,0.0307836080000001,0.0964449622196283
"BJCY89548031",116.486941,39.927022,402,105.3,3,38177,1,1,1,"1985",4,2,0,0.0986092200000002,0.025025608,0.101735241311839
"BJHD56957748",116.332314,39.965927,159,38.5,1,41299,1,1,1,"1985",4,2,0,0.0560177800000048,0.0639306079999997,0.0850006724407435
"101101627449",116.325385,39.984968,760,69.3,3,109669,1,1,1,"1985",4,2,0,0.0629467800000043,0.0829716080000011,0.104146938728293
"BJCY91584322",116.43343,39.958449,307,40.82,2,75209,1,1,1,"1985",4,4,0,0.0450982199999999,0.0564526080000007,0.0722547326973821
"BJCY88270378",116.402242,39.973402,262,57.34,2,45693,1,1,1,"1985",4,2,0,0.0139102199999996,0.0714056079999992,0.0727478870778935
"BJDC87839264",116.444518,39.939961,310,57.67,2,53755,1,1,1,"1985",4,4,0,0.0561862200000007,0.0379646079999958,0.0678100492440599
