"id","Lng","Lat","totalPrice","square","livingRoom","price","drawingRoom","kitchen","bathRoom","constructionTime","buildingType","buildingStructure","elevator","dif_lng","dif_lat","dif_cor"
"BJCY87483351",116.479732,39.93278,203,61.59,3,32960,1,1,1,"1980",4,6,0,0.091400219999997,0.0307836080000001,0.0964449622196283
"BJXC89177318",116.350809,39.90925,300,50,2,60000,0,1,1,"1980",4,2,0,0.0375227800000033,0.00725360799999919,0.0382174547549454
"BJHD89597976",116.32397,39.933336,400,62.1,2,64413,1,1,1,"1980",4,2,0,0.0643617799999987,0.0313396079999961,0.0715863796707283
"101100693426",116.360004,39.90498,513,60.76,2,84431,1,1,1,"1980",1,6,1,0.0283277799999979,0.00298360800000097,0.0284844700920686
"101101248746",116.340633,39.891697,600,50.97,2,117717,1,1,1,"1980",4,2,0,0.0476987800000046,0.0102993920000003,0.0487980643986881
"BJDC89265302",116.400533,39.962226,358,54.38,2,65834,1,1,1,"1980",4,4,0,0.0122012199999944,0.0602296080000002,0.0614530345005188
"101100980069",116.463494,39.955288,294.2,36.72,1,80120,1,1,1,"1981",4,2,0,0.0751622199999957,0.0532916080000021,0.0921376947755567
"101101285541",116.34688,39.912912,686,54.7,2,125412,1,1,1,"1981",4,2,1,0.0414517800000027,0.0109156079999977,0.0428649106283711
"101100371560",116.398689,39.894646,360,54.71,2,65802,1,1,1,"1981",4,2,0,0.0103572200000031,0.00735039199999932,0.012700404272389
"BJCY90717035",116.458742,39.886929,190,54.69,2,34742,1,1,1,"1981",4,2,0,0.0704102199999994,0.0150673919999988,0.0720043428004863
"101101679193",116.343001,39.964408,642,67.9,3,94551,1,1,1,"1981",4,2,0,0.0453307800000005,0.0624116079999979,0.0771368162977566
"BJHD84766867",116.372382,39.958962,235,48.3,2,48655,1,1,1,"1982",4,4,0,0.0159497799999997,0.0569656079999987,0.0591563688613315
"BJXC89155025",116.354135,39.916877,358,57.8,2,61938,1,1,1,"1982",4,4,0,0.034196780000002,0.0148806079999986,0.0372941316673034
"101100565093",116.459186,39.959951,496,77.91,3,63664,1,1,1,"1982",4,2,0,0.0708542200000011,0.0579546079999957,0.0915371896020504
"BJCY88941286",116.453723,39.88678,182,54.59,2,33340,1,1,1,"1982",4,2,0,0.0653912199999951,0.0152163919999992,0.0671382918950534
"BJCY89451907",116.578313,39.907903,140,60.47,2,23152,1,1,1,"1982",4,2,0,0.189981219999993,0.00590660799999654,0.190073017471579
"BJDX91814160",116.340971,39.741186,185,70.36,2,26294,2,1,1,"1982",4,2,0,0.0473607800000053,0.160810392000002,0.167639570678892
