"id","Lng","Lat","totalPrice","square","livingRoom","price","drawingRoom","kitchen","bathRoom","constructionTime","buildingType","buildingStructure","elevator","dif_lng","dif_lat","dif_cor"
"101101683023",116.42257,39.981146,492,67.69,3,72685,1,1,1,"1980",4,4,0,0.0342382199999918,0.0791496080000016,0.0862375565245314
"101100790668",116.352673,39.881715,376,54.19,2,69386,1,1,1,"1980",4,2,0,0.0356587800000057,0.0202813920000011,0.0410229625032921
"BJDC00446187",116.407868,39.95802,158,51.43,2,30722,1,1,1,"1980",4,2,0,0.019536219999992,0.0560236079999967,0.0593321881041428
"BJCY90518659",116.421749,39.978036,186,41.47,1,44852,1,1,1,"1980",4,2,0,0.033417220000004,0.0760396080000021,0.0830586092908053
"BJDC89694765",116.427206,39.883008,158,33.06,1,47792,0,1,1,"1980",4,2,0,0.0388742199999967,0.0189883920000042,0.0432638880748595
"101101669611",116.38037,39.958917,900,69.9,3,128756,1,1,1,"1980",4,4,0,0.00796178000000225,0.0569206079999987,0.0574747384148719
"BJDC88297721",116.421577,39.949708,120,8.7,1,137932,0,0,0,"1980",2,3,0,0.0332452199999977,0.0477116080000002,0.0581518889701266
"BJXC88753784",116.360688,39.93302,397,63.4,2,62619,1,1,1,"1981",4,2,0,0.0276437800000053,0.0310236079999981,0.0415528919093033
"BJHD92133420",116.310955,39.937801,490,53.4,2,91761,1,1,1,"1981",4,2,0,0.0773767799999945,0.0358046079999994,0.0852592284576935
"BJHD87328722",116.326983,39.961832,350,54.5,2,64221,1,1,1,"1981",4,4,0,0.061348780000003,0.0598356080000002,0.0856969823985562
"BJCY84502825",116.462517,39.931273,170,60.55,2,28076,1,1,1,"1981",4,2,0,0.0741852200000039,0.0292766079999964,0.0797531607049805
"BJXC86409170",116.344294,39.889416,209,50.66,2,41256,1,1,1,"1981",4,2,0,0.0440377799999965,0.0125803920000038,0.0457994795843997
"BJXC84933054",116.355743,39.923029,360,68.3,3,52709,1,1,1,"1981",4,4,0,0.0325887799999975,0.0210326079999987,0.0387865850671318
"101100476381",116.472698,39.933587,361,61,2,59181,1,1,1,"1981",4,6,0,0.0843662199999926,0.0315906080000019,0.0900867670132353
"BJDC89695362",116.398689,39.894646,234,56.87,3,41147,0,1,1,"1981",4,2,0,0.0103572200000031,0.00735039199999932,0.012700404272389
"BJCY87333900",116.487181,39.933685,175,55.9,3,31306,1,1,1,"1981",4,2,0,0.0988492200000053,0.0316886079999961,0.103804316729059
"BJHD87910675",116.318639,39.933735,264,36.7,1,71935,1,1,1,"1981",4,2,0,0.0696927799999969,0.0317386079999977,0.076579519598294
"BJXC89202497",116.397045,39.879873,230,36.45,1,63101,1,1,1,"1982",4,2,0,0.00871322000000418,0.0221233919999975,0.0237773984353635
"BJCY89110870",116.475239,39.938541,205,48.62,2,42164,0,1,1,"1982",4,6,0,0.0869072200000005,0.0365446079999998,0.0942781695940377
"BJCY86943286",116.453783,39.887599,205,57.72,2,35517,1,1,1,"1982",1,6,1,0.0654512199999999,0.0143973919999993,0.067016021188146
"101101016215",116.388556,39.984576,435,54,2,80556,1,1,1,"1982",4,4,0,0.00022421999999267,0.0825796079999961,0.0825799124003012
"101100924210",116.344041,39.896394,547,67.36,2,81206,1,1,1,"1982",4,2,0,0.0442907799999972,0.00560239200000012,0.0446437004417176
"BJXC88746100",116.356823,39.922325,335,54.7,2,61244,1,1,1,"1982",4,4,0,0.0315087799999958,0.0203286079999998,0.0374974068477514
"BJHD85836427",116.343001,39.964408,380,74.5,3,51007,1,1,1,"1982",4,2,0,0.0453307800000005,0.0624116079999979,0.0771368162977566
"101100435307",116.454732,39.952827,328,57.08,2,57464,1,1,1,"1982",4,4,0,0.0664002200000056,0.0508306079999983,0.0836226041552081
"BJFT91518755",116.420952,39.874393,310,55.46,2,55897,1,1,1,"1982",4,2,0,0.0326202199999983,0.0276033920000032,0.0427320254932308
"BJCY89465765",116.472178,39.940931,220,55.29,2,39791,1,1,1,"1982",4,6,0,0.0838462199999981,0.0389346079999981,0.0924450772534784
"BJCY84976373",116.430215,39.990791,165,49.94,2,33040,1,1,1,"1982",4,2,0,0.0418832200000026,0.0887946080000006,0.0981768125752837
"BJCY89910502",116.453783,39.887599,215,74.9,3,28705,1,1,1,"1982",1,6,1,0.0654512199999999,0.0143973919999993,0.067016021188146
"BJXC87672768",116.367163,39.878904,221,51.45,2,42955,1,1,1,"1982",4,4,0,0.0211687799999964,0.0230923920000023,0.031326918376534
"BJHD90196733",116.31905,39.992388,268,54.5,2,49175,1,1,1,"1982",4,2,0,0.0692817799999972,0.0903916079999973,0.113888576410425
"101100434134",116.352899,39.889225,409,50,2,81800,1,1,1,"1983",4,2,0,0.0354327800000078,0.0127713919999977,0.0376641786336375
"BJCY89685718",116.48837,39.929525,184,56.63,2,32492,1,1,1,"1983",4,2,0,0.100038220000002,0.0275286079999972,0.103756781557575
"101102251063",116.456697,39.922284,442,54.77,2,80702,1,1,1,"1983",1,6,1,0.068365220000004,0.0202876079999967,0.0713119228741623
"101102347372",116.512182,39.928407,308,52.7,2,58445,1,1,1,"1983",4,2,0,0.123850219999994,0.0264106079999991,0.126634897279449
"BJXC84454829",116.386786,39.966887,138,43.2,1,31945,1,1,1,"1983",4,2,0,0.00154578000000072,0.0648906079999989,0.064909016649599
"101100875568",116.46028,39.957618,348,44.99,1,77351,1,1,1,"1983",1,6,1,0.0719482199999959,0.0556216079999956,0.0909412427761628
"BJXC85097541",116.360004,39.90498,297,61.11,2,48601,1,1,1,"1983",1,6,1,0.0283277799999979,0.00298360800000097,0.0284844700920686
"101101842234",116.340473,39.886963,500,61.18,2,81727,1,1,1,"1983",4,2,0,0.0478587799999985,0.0150333919999994,0.0501643867510997
"BJFT89794515",116.320535,39.890098,192.5,57.1,2,33713,1,1,1,"1983",3,6,1,0.0677967799999948,0.0118983919999991,0.0688329507616326
"BJXC91837438",116.398086,39.88635,500,63.16,2,79165,1,1,1,"1983",4,2,0,0.00975422000000492,0.0156463920000007,0.0184378521098902
"BJCY84808863",116.478669,39.935136,121,36.16,1,33463,1,1,1,"1983",4,2,0,0.090337219999995,0.033139607999999,0.0962239415931456
"101100295202",116.659218,40.128885,212,56.32,2,37643,1,1,1,"1983",1,2,0,0.270886219999994,0.226888607999996,0.353352210444566
"BJCY87637369",116.464359,39.935358,288.8,56.18,3,51407,1,1,1,"1983",4,2,0,0.0760272200000003,0.0333616079999999,0.0830249063189721
"BJXC87482435",116.352899,39.889225,232.5,53.99,3,43064,1,1,1,"1983",4,2,0,0.0354327800000078,0.0127713919999977,0.0376641786336375
"BJSJ90895237",116.229624,39.915004,154,50.25,2,30647,1,1,1,"1983",4,6,0,0.15870778,0.0130076080000023,0.159239936254729
"BJCY89273229",116.468902,39.882519,165,48.51,2,34014,0,1,1,"1983",1,6,1,0.0805702199999985,0.0194773919999989,0.0828910679746001
"BJSJ88893982",116.203052,39.921408,150,47.85,2,31348,1,1,1,"1983",4,2,0,0.185279780000002,0.0194116079999986,0.186293873763993
"BJSJ85523958",116.195775,39.912986,150,45.05,1,33297,1,1,1,"1984",1,6,1,0.192556780000004,0.0109896079999956,0.192870124715995
"101100662758",116.463777,39.959726,355,61.72,2,57518,2,1,1,"1984",4,6,0,0.0754452199999918,0.0577296080000025,0.0949983624105232
"BJXC89858416",116.388032,39.933493,473,52,2,90962,0,1,1,"1984",4,2,0,0.000299780000005967,0.0314966079999977,0.0314980345982717
"BJCY84228012",116.475239,39.938541,150,54.89,2,27328,1,1,1,"1984",4,6,0,0.0869072200000005,0.0365446079999998,0.0942781695940377
"BJHD00377647",116.359841,39.962265,280,88.7,3,31568,1,1,1,"1984",1,6,1,0.0284907799999985,0.0602686080000012,0.0666635556752423
"BJXC84312523",116.393941,39.968963,190,56.9,2,33392,1,1,1,"1984",4,2,0,0.00560921999999664,0.0669666080000013,0.0672011155862327
"101091911470",116.339434,39.892042,360,45,2,80000,1,1,1,"1984",4,2,0,0.0488977800000043,0.00995439200000447,0.0499007295439513
"101100504118",116.35881,39.905008,410,55.79,2,73490,1,1,1,"1984",4,2,0,0.0295217799999961,0.00301160800000133,0.029674994138396
"101100424900",116.404579,39.978491,443,64.67,2,68502,1,1,1,"1984",4,6,0,0.0162472199999968,0.0764946079999973,0.0782010051776929
"BJHD88313365",116.330345,39.984336,595,81.5,3,73007,1,1,1,"1984",4,2,0,0.0579867800000073,0.0823396079999981,0.100708875976066
"BJCY84681100",116.42796,40.041263,153,50.15,2,30509,1,1,1,"1984",4,2,0,0.0396282199999973,0.139266608,0.144794972026634
"101101888350",116.404579,39.978491,340,42.13,1,80703,1,1,1,"1984",4,2,0,0.0162472199999968,0.0764946079999973,0.0782010051776929
"101102333685",116.427636,39.987904,388,53.06,2,73125,1,1,1,"1984",4,2,0,0.0393042200000053,0.0859076079999994,0.0944718943500679
"BJXC84192263",116.371787,39.905909,275,69.1,3,39798,0,1,1,"1985",3,2,1,0.0165447800000038,0.00391260800000026,0.0170011248630846
"BJDC85190563",116.440513,39.893796,225,58.76,2,38292,1,1,1,"1985",4,2,0,0.0521812199999943,0.00820039199999911,0.0528216447078416
"BJHD87160138",116.349984,39.992769,299,55.4,2,53972,1,1,1,"1985",4,2,0,0.0383477799999952,0.0907726080000018,0.098540441413919
"BJCY91393167",116.404579,39.978491,194.5,42.14,1,46156,1,1,1,"1985",4,6,0,0.0162472199999968,0.0764946079999973,0.0782010051776929
"BJCY36226557",116.476467,39.888742,97,37.87,1,25614,1,1,1,"1985",4,2,0,0.0881352199999981,0.0132543920000003,0.0891262919218439
"BJHD91299489",116.329472,39.977829,376,55,2,68364,1,1,1,"1985",4,2,0,0.0588597800000059,0.0758326079999989,0.0959950943420058
"BJCY88987508",116.421481,39.971371,335,77.95,3,42977,1,1,1,"1985",4,2,0,0.0331492199999985,0.0693746079999968,0.0768876259339663
"101100916230",116.349984,39.992769,417,44,2,94773,1,1,1,"1985",4,2,0,0.0383477799999952,0.0907726080000018,0.098540441413919
"BJHD90874057",116.329472,39.977829,389,54.8,2,70986,1,1,1,"1985",4,2,0,0.0588597800000059,0.0758326079999989,0.0959950943420058
"BJXC89212346",116.399018,39.978141,379,56,2,67679,1,1,1,"1985",4,2,0,0.0106862199999966,0.0761446079999999,0.076890809758787
"BJXC87494876",116.399018,39.978141,360,64.9,3,55470,1,1,1,"1986",4,4,0,0.0106862199999966,0.0761446079999999,0.076890809758787
"BJCY84415010",116.475046,39.88209,180,81.44,2,22103,1,1,1,"1986",1,6,1,0.0867142200000046,0.0199063920000029,0.0889697723536875
"BJCY87079313",116.442526,39.972399,166,46.74,1,35516,1,1,1,"1986",1,6,1,0.0541942199999994,0.070402608000002,0.0888456003109342
"101100833536",116.399018,39.978141,680,57.9,2,117444,1,1,1,"1986",4,2,0,0.0106862199999966,0.0761446079999999,0.076890809758787
"BJHD84659636",116.329472,39.977829,198,55.2,2,35870,1,1,1,"1986",1,6,1,0.0588597800000059,0.0758326079999989,0.0959950943420058
"BJCY88643135",116.514333,39.872735,138,57.41,2,24038,1,1,1,"1986",4,2,0,0.126001219999992,0.0292613920000022,0.129354306087058
"101100849085",116.487649,39.985143,280,43.91,1,63767,1,1,1,"1986",1,6,1,0.0993172200000032,0.0831466079999998,0.129527096047254
"BJSJ85597037",116.167112,39.936388,154,54.78,2,28113,1,1,1,"1986",4,6,0,0.221219779999998,0.034391608,0.223877139887201
"BJHD85269821",116.370317,39.952381,353.5,75.9,3,46575,1,1,1,"1986",4,2,0,0.0180147800000015,0.0503846080000017,0.0535083266582154
"101100341671",116.315734,39.950659,474,59.6,2,79531,1,1,1,"1986",1,6,1,0.0725977799999953,0.0486626080000008,0.0873984386490368
"BJXC85783629",116.340633,39.891697,302.5,70.88,3,42678,1,1,1,"1986",4,2,0,0.0476987800000046,0.0102993920000003,0.0487980643986881
"BJHD90476012",116.362626,39.98053,248,42.9,1,57809,1,1,1,"1986",4,2,0,0.0257057799999956,0.0785336080000008,0.082633617317082
"BJCY91203836",116.422403,39.987661,202,40.68,1,49656,1,1,1,"1986",4,2,0,0.0340712200000013,0.0856646080000019,0.0921915022986526
"BJXC91775730",116.371249,39.941392,409,45.3,1,90287,1,1,1,"1987",4,2,0,0.0170827799999955,0.0393956079999995,0.0429399033792331
"101091863356",116.328627,39.979037,448,53.1,2,84370,1,1,1,"1987",4,2,0,0.0597047800000041,0.0770406079999972,0.0974675127201784
"BJXC91186433",116.340473,39.886963,350,58.55,2,59778,1,1,1,"1987",4,2,0,0.0478587799999985,0.0150333919999994,0.0501643867510997
"BJCY88213857",116.422403,39.987661,226.6,57,2,39755,1,1,1,"1987",4,2,0,0.0340712200000013,0.0856646080000019,0.0921915022986526
